memberID,amount,paymentDate
126,300.00,1/31/2025
195,300.00,1/22/2025
363,50.00,6/16/2024
306,100.00,10/1/2024
215,50.00,2/10/2025
284,100.00,2/11/2025
100,100.00,3/18/2025
251,100.00,10/9/2024
198,100.00,10/8/2024
243,100.00,3/18/2025
230,100.00,3/6/2025
143,100.00,6/9/2024
143,100.00,11/7/2024
354,300.00,3/23/2025
34,50.00,9/23/2024
302,300.00,2/13/2024
318,50.00,3/1/2024
127,300.00,6/1/2024
80,100.00,9/8/2024
137,50.00,6/23/2024
253,100.00,8/24/2024
98,100.00,2/27/2025
186,300.00,9/29/2024
231,50.00,8/14/2024
49,100.00,11/20/2024
294,100.00,2/11/2024
318,50.00,4/25/2025
125,300.00,1/27/2025
26,50.00,2/27/2025
359,50.00,2/16/2024
14,100.00,10/6/2024
221,100.00,6/6/2024
225,300.00,3/6/2024
209,100.00,11/19/2024
322,100.00,2/29/2024
293,50.00,5/13/2024
333,50.00,1/23/2025
162,300.00,12/21/2024
146,100.00,3/20/2024
55,100.00,9/20/2024
189,50.00,12/31/2024
207,100.00,1/18/2025
308,100.00,3/26/2024
114,300.00,10/9/2024
330,100.00,4/27/2024
72,100.00,3/26/2024
177,50.00,10/21/2024
209,100.00,12/10/2024
271,50.00,4/28/2024
19,300.00,7/23/2024
325,100.00,6/3/2024
230,300.00,5/4/2024
98,50.00,11/4/2024
49,300.00,3/7/2025
274,100.00,8/9/2024
245,100.00,3/30/2024
212,50.00,6/4/2024
40,50.00,5/22/2024
362,100.00,9/17/2024
231,50.00,8/24/2024
167,100.00,1/1/2025
118,100.00,7/3/2024
395,50.00,2/16/2024
390,300.00,4/22/2025
278,50.00,4/14/2024
30,100.00,4/13/2024
394,50.00,4/2/2024
374,100.00,12/21/2024
86,50.00,10/1/2024
305,300.00,1/1/2025
182,50.00,9/17/2024
294,100.00,7/8/2024
41,300.00,6/3/2024
83,50.00,6/8/2024
112,100.00,6/9/2024
79,100.00,4/6/2024
246,100.00,2/23/2024
197,100.00,5/2/2024
279,300.00,11/18/2024
155,100.00,8/15/2024
401,100.00,4/9/2024
312,300.00,5/14/2024
183,100.00,1/22/2025
208,100.00,2/22/2024
369,100.00,2/4/2025
156,100.00,2/15/2025
209,300.00,7/18/2024
21,100.00,12/12/2024
186,100.00,3/13/2025
51,300.00,4/20/2024
399,50.00,12/14/2024
52,100.00,2/19/2025
31,100.00,4/27/2025
329,300.00,10/22/2024
192,50.00,1/21/2025
125,100.00,10/30/2024
129,300.00,6/10/2024
87,50.00,12/23/2024
254,50.00,2/23/2024
326,50.00,2/14/2025
348,100.00,7/8/2024
351,100.00,8/3/2024
393,100.00,2/28/2024
82,300.00,11/14/2024
362,100.00,12/18/2024
192,300.00,9/21/2024
79,100.00,8/27/2024
79,300.00,6/7/2024
345,300.00,1/6/2025
240,300.00,1/24/2025
317,50.00,4/10/2024
340,300.00,4/2/2025
110,300.00,10/31/2024
46,300.00,2/21/2024
384,100.00,10/7/2024
17,300.00,10/29/2024
249,300.00,3/27/2025
322,50.00,12/29/2024
379,50.00,8/8/2024
296,50.00,4/21/2024
54,50.00,4/21/2024
365,50.00,8/24/2024
159,50.00,3/4/2024
18,50.00,3/19/2025
314,50.00,11/13/2024
14,50.00,7/26/2024
12,300.00,11/4/2024
47,50.00,3/11/2024
141,100.00,9/24/2024
66,100.00,12/21/2024
374,300.00,9/13/2024
261,50.00,10/17/2024
346,50.00,10/15/2024
379,50.00,3/24/2024
305,100.00,1/8/2025
34,50.00,4/4/2024
347,50.00,3/10/2025
130,300.00,5/31/2024
267,300.00,2/28/2025
40,300.00,11/19/2024
361,100.00,1/3/2025
54,100.00,3/28/2024
86,50.00,12/2/2024
267,50.00,4/17/2024
88,100.00,12/3/2024
210,100.00,9/12/2024
85,300.00,7/8/2024
361,100.00,1/23/2025
359,50.00,7/25/2024
252,50.00,8/6/2024
274,300.00,2/23/2025
378,100.00,12/17/2024
348,50.00,3/3/2025
342,300.00,6/14/2024
73,300.00,5/6/2024
59,50.00,7/21/2024
89,300.00,4/17/2025
162,300.00,4/18/2024
28,300.00,8/3/2024
387,50.00,6/19/2024
34,100.00,11/2/2024
137,50.00,10/7/2024
264,50.00,4/29/2024
268,100.00,11/19/2024
250,50.00,2/21/2025
152,300.00,9/8/2024
372,50.00,11/25/2024
55,50.00,3/6/2024
336,50.00,1/1/2025
134,300.00,2/14/2024
316,300.00,4/25/2025
255,50.00,4/23/2025
50,100.00,6/21/2024
75,50.00,4/12/2025
300,300.00,10/27/2024
38,300.00,12/10/2024
12,50.00,1/18/2025
262,300.00,10/25/2024
88,100.00,12/13/2024
163,100.00,4/2/2024
201,50.00,4/13/2025
284,300.00,9/10/2024
248,100.00,2/27/2024
343,50.00,5/10/2024
184,100.00,8/11/2024
377,100.00,10/1/2024
355,100.00,10/22/2024
11,300.00,8/30/2024
164,100.00,4/26/2024
380,50.00,3/19/2025
284,100.00,5/30/2024
386,300.00,3/31/2024
23,100.00,6/11/2024
182,100.00,3/7/2025
65,300.00,11/1/2024
144,300.00,12/7/2024
85,300.00,12/29/2024
29,100.00,1/21/2025
141,50.00,2/12/2024
216,50.00,12/22/2024
244,50.00,6/29/2024
355,100.00,12/30/2024
30,100.00,5/27/2024
72,50.00,10/8/2024
345,300.00,8/6/2024
199,300.00,4/14/2025
97,100.00,10/21/2024
160,50.00,8/21/2024
19,300.00,4/25/2024
370,300.00,6/17/2024
339,100.00,5/29/2024
206,100.00,12/25/2024
344,50.00,9/14/2024
227,300.00,3/11/2024
277,300.00,4/14/2024
94,300.00,12/31/2024
32,50.00,12/3/2024
338,50.00,5/1/2024
394,50.00,5/8/2024
363,50.00,2/19/2024
309,100.00,3/18/2025
182,300.00,6/10/2024
333,300.00,4/22/2024
73,300.00,5/20/2024
372,100.00,4/2/2025
38,300.00,4/17/2025
233,100.00,11/25/2024
342,100.00,12/10/2024
294,300.00,5/25/2024
33,100.00,3/13/2024
155,50.00,9/1/2024
272,50.00,2/22/2024
38,300.00,1/1/2025
193,50.00,7/14/2024
347,50.00,12/23/2024
135,100.00,4/17/2025
235,100.00,2/2/2025
254,100.00,2/25/2024
316,50.00,9/15/2024
312,50.00,9/24/2024
18,50.00,4/12/2025
4,300.00,11/19/2024
324,50.00,2/19/2024
51,300.00,5/25/2024
348,300.00,5/16/2024
55,300.00,2/28/2025
375,300.00,7/7/2024
250,50.00,3/31/2025
303,100.00,12/6/2024
355,50.00,12/1/2024
321,50.00,4/27/2025
392,100.00,2/3/2025
85,50.00,11/30/2024
240,50.00,9/13/2024
332,300.00,8/12/2024
82,100.00,4/14/2024
236,50.00,9/11/2024
370,100.00,1/20/2025
206,50.00,12/13/2024
186,300.00,12/27/2024
316,50.00,4/23/2025
386,300.00,11/25/2024
265,50.00,6/3/2024
179,300.00,7/30/2024
120,50.00,8/13/2024
227,100.00,3/24/2024
312,100.00,3/8/2025
381,50.00,11/22/2024
326,100.00,3/16/2024
339,50.00,12/20/2024
300,100.00,4/11/2025
253,100.00,4/25/2024
229,300.00,5/1/2024
147,50.00,3/14/2024
73,100.00,9/24/2024
370,100.00,12/25/2024
156,300.00,10/6/2024
108,100.00,4/21/2024
184,50.00,5/11/2024
155,100.00,6/2/2024
48,50.00,6/5/2024
309,100.00,2/14/2024
379,50.00,5/15/2024
112,50.00,10/1/2024
192,50.00,7/9/2024
134,300.00,3/30/2024
232,300.00,9/14/2024
211,300.00,11/18/2024
379,50.00,3/1/2025
355,300.00,10/6/2024
109,50.00,5/17/2024
319,50.00,12/20/2024
141,100.00,1/20/2025
277,100.00,1/29/2025
269,100.00,3/18/2025
77,100.00,4/17/2024
20,50.00,9/30/2024
5,50.00,10/14/2024
27,50.00,8/13/2024
201,300.00,1/8/2025
344,50.00,3/9/2024
168,50.00,8/1/2024
166,50.00,12/3/2024
151,50.00,3/19/2025
320,100.00,4/5/2025
95,100.00,4/2/2025
373,300.00,1/12/2025
355,100.00,2/26/2025
9,50.00,6/29/2024
372,100.00,5/13/2024
16,50.00,8/1/2024
11,300.00,7/14/2024
133,50.00,9/7/2024
173,50.00,4/19/2024
242,50.00,5/17/2024
